trade_id,datetime_utc,symbol,bitget_symbol,company,direction,entry_price,exit_price,quantity,collateral_usd,trade_volume_usd,fee_usd,gross_pnl_usd,net_pnl_usd,net_return_pct,balance_before,balance_after,z_score,hit_stop_loss,status
PT-rTSLA-0038,2026-08-14 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,SHORT,342.67,342.87,7.2956,2500.0,2499.98,3.0,-1.46,-4.46,-0.18,49891.15,49886.69,1.98,False,LOSS
PT-rTSLA-0039,2026-08-15 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,SHORT,342.87,341.94,7.2914,2500.0,2500.0,3.0,6.78,3.78,0.15,49886.69,49890.47,1.73,False,WIN
PT-rTSLA-0040,2026-08-18 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,SHORT,347.28,346.08,7.1988,2500.0,2500.0,3.0,8.64,5.64,0.23,49890.47,49896.11,1.72,False,WIN
PT-rCOIN-0051,2026-08-18 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,SHORT,163.49,172.5,15.2915,2500.0,2500.01,3.0,-87.5,-90.5,-3.62,49896.11,49805.61,3.34,True,LOSS
PT-rMSTR-0071,2026-08-18 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,105.7,113.19,23.6518,2500.0,2500.0,3.0,-87.5,-90.5,-3.62,49805.61,49715.11,3.2,True,LOSS
PT-rCOIN-0052,2026-08-19 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,SHORT,172.5,189.12,14.4928,2500.0,2500.01,3.0,-87.5,-90.5,-3.62,49715.11,49624.61,5.29,True,LOSS
PT-rMSTR-0072,2026-08-19 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,113.19,120.28,22.0868,2500.0,2500.0,3.0,-87.5,-90.5,-3.62,49624.61,49534.11,4.6,True,LOSS
PT-rAAPL-0102,2026-08-19 16:00:00,rAAPL,AAPLUSDT,Apple Inc.,SHORT,317.28,311.86,7.8795,2500.0,2500.01,3.0,42.71,39.71,1.59,49534.11,49573.82,2.48,False,WIN
PT-rTSLA-0041,2026-08-20 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,SHORT,362.82,361.85,6.8905,2500.0,2500.01,3.0,6.68,3.68,0.15,49573.82,49577.5,2.99,False,WIN
PT-rCOIN-0053,2026-08-20 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,SHORT,189.12,184.76,13.2191,2500.0,2500.0,3.0,57.64,54.64,2.19,49577.5,49632.14,6.19,False,WIN
PT-rMSTR-0073,2026-08-20 16:00:00,rMSTR,MSTRUSDT,MicroStrategy Inc.,SHORT,120.28,120.2,20.7848,2500.0,2500.0,3.0,1.66,-1.34,-0.05,49632.14,49630.8,4.61,False,LOSS
PT-rTSLA-0042,2026-08-21 16:00:00,rTSLA,TSLAUSDT,Tesla Motors Inc.,SHORT,361.85,363.25,6.9089,2500.0,2499.99,3.0,-9.67,-12.67,-0.51,49630.8,49618.13,2.46,False,LOSS
PT-rCOIN-0054,2026-08-21 16:00:00,rCOIN,COINUSDT,Coinbase Global Inc.,SHORT,184.76,185.56,13.5311,2500.0,2500.01,3.0,-10.82,-13.82,-0.55,49618.13,49604.31,3.08,False,LOSS
